name,main_category,sub_category,image,ratings,no_of_ratings,actual_price
"FITTYFY INALSA Spin Bike Exercise Bike FFSB 06 with 6Kg Flywheel| Adjustable Resistance, Heart Rate Sensor| Bottle & Bottl...",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/617ZvbimiSL._AC_UL320_.jpg,3.8,23,"₹29,999"
Cardio Max JSB HF145 Desk Cycle Pedal Exerciser Mini Bike with Digital Display,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/61Fof-X0MqL._AC_UL320_.jpg,3.3,15,"₹2,950"
Zorex HGZ-1002 Home Gym Machine All in one equipments for Men Workout Machine Chest Biceps Shoulder Back Triceps Legs Musc...,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/71vMcnwAxOL._AC_UL320_.jpg,3.8,65,"₹23,490"
"Dolphy Fitness Stair Stepper with LCD Monitor, Portable Twist Stair Stepper Household Hydraulic Mute Stepper for Home Gym",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/51gvbyu7rXL._AC_UL320_.jpg,4.4,3,"₹9,999"
"LETSPLAY® Indoor Upright Exercise Bike with Matt Black Frame Handlebar Aluminum Pedals Ergonomic Seat for Home, Workout & ...",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/51CsslvCk7L._AC_UL320_.jpg,4.3,217,"₹29,999"
"Fitmen Treadmill Magnetic Safety Key for All Type Tread Mill, Model No TMSK07.",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/81-SZrpnZaL._AC_UL320_.jpg,3.8,24,₹550
BIONFIT ON05M Patented Air Bike Exercise cycle with attached Resistance Tube & Moving Handles & Abs Twister+Back Support S...,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/71HdQzFtVoL._AC_UL320_.jpg,,,
SPARNOD FITNESS STH-4200 (4.5HP Peak) Automatic Treadmill (Free Installation Service) - Foldable Treadmill for Home Use wi...,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/614BP+EkYtL._AC_UL320_.jpg,4.5,453,"₹76,000"
"PowerMax Fitness Steel B-S2 Exercise Spin Bike with Flywheel, 14 kg, Saddle Adjustment and Adjustable Foot Strap for Home ...",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/61zkytG5KjL._AC_UL320_.jpg,3.9,27,"₹58,000"
A L N ® 3 in 1 Tummy Twister Abdominal ABS Exerciser Body Toner-Fat Buster Multipurpose Workout Fitness Equipment Perfect ...,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/61qOPy1F5xL._AC_UL320_.jpg,3.6,59,"₹1,399"
"Stunner Fitness STX-360 2.0 HP (4.0 HP Peak) Motorised Treadmill with Auto Inclination & Auto Lubrication System, MP3, Sma...",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/61Yv0kb4COL._AC_UL320_.jpg,4.1,122,"₹79,000"
Reach Evolve Elliptical Climber Cross Trainer + Stepper | Exercise Fitness Equipment for Home Gym,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/51QQLr+5-4L._AC_UL320_.jpg,4.1,165,"₹37,333"
"IRIS Mini Stepper,Fitness Stair Stepper with Handle Bar - Portable Stair Stepper Adjustable Resistance,Fitness Exercise Ma...",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/41jBiPVN+zL._AC_UL320_.jpg,3.5,24,"₹12,000"
"PowerMax Fitness TDM-110 2HP (4HP Peak) Motorized Treadmill with Free Installation Assistance, Home Use & Automatic Programs",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/61IQ5YHurJL._AC_UL320_.jpg,4.3,749,"₹65,000"
LETSPLAY® LP-100AC Professional Portable (6 HP Peak AC Motor)[5 Years Warranty on Motor] Folding Smart Jogging Exercise Fi...,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/61wDiJY5quL._AC_UL320_.jpg,4.1,356,"₹99,999"
SPARNOD FITNESS SAB-06_R Upright Air Bike Exercise Cycle for Home Gym - Dual Action for Full Body Workout - Adjustable Res...,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/51fULG8ubzL._AC_UL320_.jpg,4.2,391,"₹26,450"
"PowerMax Fitness TDA-125 SERIES (4.0HP Peak) Motorized Foldable, Electric Treadmill【LCD Display | BMI | Spring Resistance】...",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/719QZnxqmiL._AC_UL320_.jpg,4.3,"1,094","₹64,362"
"Lifelong LLTM135 Fit Pro Manual Incline 2HP - 4HP Peak DC Motorised Treadmill for Home Use, 14Km/Hr Speed| 90 Degree Folda...",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/51BtkxBh4oS._AC_UL320_.jpg,4.1,27,"₹59,000"
KLIKFIT KF04F Indoor Stationary Air Bike Exercise Cycle with Back Support & Twister Plate with Installation Support for Ho...,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/71dp+Bip10L._AC_UL320_.jpg,3.6,518,"₹15,490"
"Health & Fitness_Hub Power Vibration Plate - 6 Modes + 99 Intensity Levels - Resistance Bands With Handle, Thera Band & Re...",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/71PKtDlwb-L._AC_UL320_.jpg,3.8,4,"₹29,999"
"Dolphy Folding Stationary Exercise X Bike with 8-levels Magnetic Resistance, Indoor Upright Foldable Cycling Bike with Bac...",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/61koO+chFCL._AC_UL320_.jpg,4.4,33,"₹25,999"
Holy Delight Folding Mini Stationary Bike Pedaler Fitness Gym Equipment for Seniors Digital Home Gym Fitness Cycle - Foot ...,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/61h1tQjvBOL._AC_UL320_.jpg,,,"₹3,999"
"RISE UP ™ Hyper Extension Back Extension, Glut,Hamstring Developer,and Abs (Fully Assembled) (Capacity 120kg)",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/61GyENcYoFL._AC_UL320_.jpg,2.5,2,"₹14,999"
"A L N® 5 in 1 Tummy Twister Ab Exerciser Useful for Figure Tone-Up, Weight Reduction, Power Mat, Magnetic Therapy, Pyramid...",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/71lHGwCvvDL._AC_UL320_.jpg,1.8,3,"₹1,399"
VICKY Home Gym Set 20kg Curl Rod & Straight Rod Portable Exercise Kit Fitness Equipment Personal Training Workout Stretchi...,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/71qBLCiZU3L._AC_UL320_.jpg,Get,FREE Delivery by Amazon,"₹5,000"
TQS Tummy Trimmer Waist -Abs Exerciser- With Toning tube resistance band Body Toner-Fat Buster- Multipurpose Fitness Equip...,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/617LPP7khmL._AC_UL320_.jpg,2.9,14,"₹1,495"
Health & Fitness_hub SOBO Xtreme Powerful Slim Full Body Vibration Platform Exercise Crazy Fit Machine,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/31MBFJwxTgL._AC_UL320_.jpg,4.3,60,"₹39,999"
"PowerMax Fitness BX-110SX Fitness Exercise Magnetic X Bike Cycle for Home, Weight Loss, Cherry Red",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/71wiHrCLRBL._AC_UL320_.jpg,4.4,698,"₹17,832"
"Gmefvr Foldable Pedal Exerciser Bike, Mini Bike Portable Home Fitness Exercise Bike with Monitor, Anti-Skid Mat, None Slip...",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/61TRUfdjsTL._AC_UL320_.jpg,3.0,2,"₹6,999"
Inditradition Mini Pedal Exercise Sitting Pedal Fitness Bike Cycle with Digital LCD Display of Many Functions - Black/Silver,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/51ooejpT8CL._AC_UL320_.jpg,3.7,99,"₹3,000"
"Durafit - Sturdy, Stable and Strong Durafit Surge | 4 HP Peak DC Motorized Foldable Treadmill | Auto Incline | Home Cardio...",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/51iItDq5RNL._AC_UL320_.jpg,4.6,160,"₹64,999"
Mse Mini Pedal Leg Cycle Home Roller Bicycle Weight Loss Walking Knee Joint Upright Exercise Bike,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/61nJfwARpKL._AC_UL320_.jpg,3.8,27,"₹2,699"
Dr. Care Mini Cycle Pedal Exerciser with Adjustable Resistance and Digital Display - Suitable for Light Exercise of Legs &...,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/41rpXvFDNyL._AC_UL320_.jpg,Get,FREE Delivery by Amazon,"₹2,499"
Pedal Exerciser Exercise Cycle Mini Pedal Exerciser LCD Counter Exercise Bike Indoor Fitness Resistance Home Gym Potable E...,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/51RXX59cJYL._AC_UL320_.jpg,5.0,1,"₹6,000"
"Cockatoo Premium Range Auto Incline Series 3HP - 6HP Peak with Auto Incline Treadmill for Home & Max Speed 16 Km/Hr, (Free...",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/41afP7utKeL._AC_UL320_.jpg,4.1,296,"₹55,000"
"Spryser DM150 (2.5 HP Peak) Manual Incline Motorized Treadmill for Home with 12 preset Workouts, Max Speed 12km/hr. (Free ...",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/51sH7MtwOKL._AC_UL320_.jpg,3.0,3,"₹41,999"
GOCART WITH G LOGO Foldable Mini Exercise Bike Pedals Peddler Exerciser for Arms and Legs for Office or Home,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/61D9UPPYqgL._AC_UL320_.jpg,3.9,27,"₹5,999"
Nodens Fitness TMA-008 (2 HP Peak) Automatic Treadmill (Free Installation Assistance) - Foldable Motorized Treadmill for H...,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/71Bbpbq2E-L._AC_UL320_.jpg,3.1,3,"₹35,000"
FITX Manual Treadmill 4 in 1 Multi J-1560 for Home,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/71o3SPf90-L._AC_UL320_.jpg,,,"₹31,061"
AGARO Royal Under Desk Elliptical Exercise Machine Mini Exercise Bike Cycle for Home Office Workout Exercise Equipment Ped...,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/717+ism53pL._AC_UL320_.jpg,4.8,17,"₹13,990"
"Dratal Stainless Steel and Robust PVC and Rubber Fitness Exercise Machine Mini Stepper, Household Hydraulic Mute Stepper M...",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/51ZaHCrGQ+L._AC_UL320_.jpg,3.6,29,"₹9,999"
"Durafit Heavy 5 HP Peak DC Motor Treadmill Max User Weight 120 Kgs, Manual Incline, Max Speed 16 Km/hr",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/511vSuUsxGL._AC_UL320_.jpg,4.6,615,"₹64,999"
Hercules DB22 Dual Exercise Bike,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/31zNNakg-PL._AC_UL320_.jpg,5.0,1,"₹25,000"
Reach Vision Magnetic Stationary Bike with Adjustable Professional Handlebar and Magnetic Resistance | Belt Drive Spin Bik...,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/61rCo5dwgPL._AC_UL320_.jpg,4.2,114,"₹29,999"
"Cult.Sport smartROW X1 Water Rowing Machine with Free Diet Plan, Installation I16Level Resistance I Max Weight 150Kg for F...",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/51JlhddaKhL._AC_UL320_.jpg,4.2,13,"₹1,10,990"
Lifelong Orbitrek Exercise Cycle and Cross Trainer Bike|Dual Trainer 2 in 1 Home Fitness Gym Equipment|Designed for Comple...,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/51dGyB0bSmL._AC_UL320_.jpg,3.9,10,"₹20,999"
KLIP 2 DEAL Under Desk Pedal Exerciser Bike | Perfect Physiotherapy Fitness Care Exerciser for Arm and Leg Workout | Pedal...,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/51n5cojMflL._AC_UL320_.jpg,,,"₹5,000"
"Cultsport smartbike c2 Bluetooth Enabled Exercise Spin Bike with Flywheel: 13.3lbs, Max Weight: 110kg, Free At Home Instal...",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/51zmgOAS2VL._AC_UL320_.jpg,4.3,33,"₹44,899"
"Kobo TM-210 Multi Function 2 HP - 4 HP Peak DC Motorised Treadmill for Home Use with Bluetooth Connectivity APP, Free Inst...",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/812eb1mTF+L._AC_UL320_.jpg,,,"₹67,000"
beatXP Fireclaw Spin Exercise Bike|Exercise Cycle for Home & Gym Workout with 6 kg Flywheel|Max Weight - 110 kg|LCD Monito...,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/618lLwY5PGL._AC_UL320_.jpg,3.5,27,"₹24,999"
"GOPLUS Folding Pedal Exerciser, Adjustable Resistance Mini Exercise Bike Lightweight Indoor Foot Peddler Desk Bike with El...",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/515gSGRkSYL._AC_UL320_.jpg,4.0,112,"₹2,499"
Fitkit FK700 Magnetic Upright Fitness X-Bike with Back Support with Free 3 Month Diet and Fitness Plan by certified Dietit...,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/51rhtyZOQbL._AC_UL320_.jpg,3.8,9,"₹22,990"
"DOLPHY Acrylonitrile Butadiene Styrene Exercise Spin Bike, Red & Black",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/61yLS8KT2nL._AC_UL320_.jpg,4.3,130,"₹29,999"
"SPARNOD FITNESS SAB-05_R Air Bike Exercise Cycle for Home Gym - Dual Action for Full Body Workout - Adjustable Resistance,...",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/51cPL3vmnDL._AC_UL320_.jpg,4.3,98,"₹18,000"
"Cosco fitness CEB Wave 60 U Upright Bike , Black",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/51+l+xmcBdL._AC_UL320_.jpg,4.2,16,"₹24,999"
"Sparnod Fitness SAB-03 Upright Air Bike Exercise Cycle for Home Gym - Adjustable Resistance, Height Adjustable Seat (Do It...",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/61ZADrnqSlL._AC_UL320_.jpg,4.2,322,"₹15,000"
Reach T-301 Folding Treadmill Peak 4 HP | Foldable Home Fitness Equipment with LCD Display for Walking & Running | Cardio ...,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/61cCZHKNaJL._AC_UL320_.jpg,4.5,138,"₹42,666"
HVG TRADERS Pedal Exerciser Mini Exercise Bike Arm and Leg Exercise Peddler Machine,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/61yOS9iNiQL._AC_UL320_.jpg,4.0,1,"₹2,499"
"INDIAHUNK Multifunction Timing Plank Trainer, Plank Trainer with Timer, Chest Muscle Waist and Abdomen Training Equipment ...",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/510OnwXN0sL._AC_UL320_.jpg,,,"₹4,999"
"Scizor Aerobic Stepper, Elliptical Pe'dal Exerciser, Portable Twist Stair Stepper, Premium Compact Elliptical, Home Exerci...",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/61lcNpWI5aS._AC_UL320_.jpg,4.2,6,"₹9,999"
"Flexnest Flexrower Plus Smart Imported Wood Bluetooth-Enabled Water Rower Rowing Machine, for Home with Classes from Train...",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/61VPmxui0XL._AC_UL320_.jpg,4.0,36,"₹1,19,999"
SIGNATRON Treadmill Safety Key | Universal Treadmill Magnet Security Lock | Fitness Replacement Kit for All Types of Tread...,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/41L6+F+LKtL._AC_UL320_.jpg,4.4,25,₹499
HVG TRADERS Mini Cycle Pedal Exerciser with Adjustable Resistance and Digital Display - Suitable for Light Exercise of Leg...,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/51gnNUZlD3L._AC_UL320_.jpg,4.0,4,"₹2,499"
"Lifelong LLF108 FitPro Stationary Exercise Belt Bike for Weight Loss at Home with Display and Resistance Control, White (F...",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/61vN+HXG+WL._AC_UL320_.jpg,3.7,167,"₹14,500"
"FITTYFY INALSA Spin Bike Exercise Bike FFSB 10 with 10Kg Flywheel| Adjustable Resistance, Heart Rate Sensor| Bottle & Bott...",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/61Fll+KL9jL._AC_UL320_.jpg,3.9,16,"₹32,999"
"Cockatoo CTM-11LPLUS 3HP - 6HP Peak DC Motorised Multi Function Treadmill for Home with Manual Incline, Max Speed 14Km/Hr,...",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/41ChjkU-Y7S._AC_UL320_.jpg,3.6,41,"₹55,000"
Treadmill Belt for Customization Call or Whatsapp on 9811334039 (Please Mention Contact no. for Size Confirmation),sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/81drphbsEDL._AC_UL320_.jpg,4.5,34,"₹7,800"
"PowerMax Fitness Marvel MT-1M Iron Man Edition 4HP Peak Smart Folding Electric Treadmill with Manual Incline, MP3, Speake...",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/71JEQ8ikuLL._AC_UL320_.jpg,4.6,54,"₹94,000"
kitoro Running Machine Safety Key Treadmill Magnetic Security Switch Lock Gym Round Plug,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/61CzhNjN84L._AC_UL320_.jpg,,,"₹3,969"
Kobo SB-4 with 13 Kg Fly Wheel Exercise Spin Bike (Imported),sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/61jpKgbbfQL._AC_UL320_.jpg,3.8,59,"₹40,000"
Multipurpose 100% Silicone Lubricant for Treadmill Belt and Gym Equipment 100 ml Pack of 2,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/81g4-Q1T7vL._AC_UL320_.jpg,5.0,1,₹590
"PTMX3 2hp(4hp Peak) 100% pre-Installed Foldable Motorized Treadmill with LED Touch Interactive Display, Bluetooth Speaker,...",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/6137UY1gV7L._AC_UL320_.jpg,4.3,89,"₹34,500"
Kobo Spin Bike Exercise Bike Commercial with Steel Wheel 20 Kg (IMPORTED),sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/81j2r0R9g5L._AC_UL320_.jpg,3.9,2,"₹55,000"
Body Gym Platinum Air Bike Exercise Cycle with Back Support and Twister for Weight Loss at Home,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/41M2+abfVnL._AC_UL320_.jpg,3.7,30,"₹17,000"
"PowerMax Fitness EH-760 Elliptical Cross Trainer with Water Bottle Cage, Preset Programs, Motorized Magnetic Brake System ...",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/51VZJwoayzL._AC_UL320_.jpg,4.1,62,"₹88,000"
"Uten Folding Pedal Exerciser, Mini Exercise Bike, Portable Foot Peddler Desk Bike for Leg and Arm Exercisers, Adjustable S...",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/61BMOElxOFL._AC_UL320_.jpg,4.2,"1,103","₹2,999"
Endless TM-515 Blend (2.5 HP) Motorized Treadmill (with Massager)-Max Speed 14KM/HR (Black) (with Massager),sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/61XYNbSQ1IL._AC_UL320_.jpg,3.0,20,
"Kobo SB-5 Steel Exercise Spin Bike, Black",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/61nfwEJ105L._AC_UL320_.jpg,3.9,63,"₹24,000"
"Aerofit Af 601 Es Elliptical Cross Trainer With Hand Grip Pulse Sensor, Multicolour",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/41JvVl99yHL._AC_UL320_.jpg,3.4,7,"₹35,000"
Fitline Straight Rubber Barbell Rod with 10 Kg Fixed Weight Lifting for Home Gym Workout,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/41HVRzLP-eL._AC_UL320_.jpg,,,
"AGARO Alpha Magnetic Crosstrainer, 8 Magnetic Resistance Levels, LCD Monitor, Pulse Meter, Calorie Meter with 8Kg Fly Whee...",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/61IfHiXdmAL._AC_UL320_.jpg,3.7,3,"₹55,990"
Avon Magnetic Exercise X Bike-924.Cycling at your Home,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/61iYH9vxBZL._AC_UL320_.jpg,2.8,7,"₹25,083"
TOPHAVEN Portable Pedal Exerciser - Arm & Leg Exercise Peddler Machine - Low Impact Desk Cycle - Fitness Equipment for Sen...,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/51BSiTrN75L._AC_UL320_.jpg,3.5,25,
Healthex Exercise Cycle For Weight Loss At Home || Cycle 201 For Home Use,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/516566zDLuL._AC_UL320_.jpg,3.7,29,"₹12,000"
BLUNTFIT Treadmill Safety Key | Universal Treadmill Magnet Security Lock | Fitness Replacement Kit for All Treadmill- Red,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/71DIsEy6BZS._AC_UL320_.jpg,5.0,2,
"Mini Cycle Pedal Exerciser with Adjustable Resistance and Digital Display - Suitable for Light Exercise of Legs & Arms, an...",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/31fY0zeq+SL._AC_UL320_.jpg,,,"₹2,999"
Ps Fitness Service Motor 1.5 Hp Treadmill for Treadmill Spare Part | M|,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/41xoCce1k4L._AC_UL320_.jpg,,,"₹10,250"
"Exercise Bike For Cardio Training, Stationary Bikes, Flywheel Bicycle With Resistance For Home Gym, Adjustable Seat, Indoo...",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/41gQSkIGCML._AC_UL320_.jpg,1.0,1,"₹19,999"
Mishrit Mini Digital Fitness Cycle | Indoor Foot Paddle Exerciser with Adjustable Resistance LCD Display Calorie Counter |...,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/71Z98n-tXjL._AC_UL320_.jpg,3.6,5,"₹4,815"
AGARO Acute Motorized Treadmill 2.25 HP (Peak 4.5 HP) Folding Treadmill,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/8170JRzdW4L._AC_UL320_.jpg,4.4,98,"₹74,999"
Sparnod Fitness SOB-1000 Dual Orbitrek Elliptical Cross Trainer Cum Exercise Cycle Machine for Home Gym (Free Installation...,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/41K7Q9PguML._AC_UL320_.jpg,4.0,70,"₹25,000"
Stunner Fitness STX-355 2.0 HP (4.0 HP Peak) Motorised Treadmill with Auto Inclination | Bluetooth Speaker | Smart Phone A...,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/71okxOAODDL._AC_UL320_.jpg,4.0,54,"₹79,000"
"Reach T- 501 5 HP Peak | Home Gym Equipment For Cardio | Auto Incline Treadmill for Walking, Running & Jogging | Max User ...",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/I/51BUHAd-eKL._AC_UL320_.jpg,3.9,65,"₹56,000"
Hercules Fitness Air Bike and Elliptical Cross Trainer for Home use with Dual Purpose - Home Gym Cardio,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/616M3RevFrS._AC_UL320_.jpg,3.8,6,"₹19,990"
Physiostore Adjustable Aerobic Stepper Exercise Stepper Step Machine Cardio Stepper Workout Stepper,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71POUWWGP6L._AC_UL320_.jpg,,,"₹4,500"
Kobo Imported Spin Bike Heavy Duty with 6 Kg Fly Wheel,sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61mEVKXpEuL._AC_UL320_.jpg,5.0,2,"₹24,000"
"Agudo Digital Portable Foot Pedal Exerciser Cycle for Home Gym Fitness with Non Slip Foot Pedals,Mini Stationary Bike Peda...",sports & fitness,Cardio Equipment,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41BKbEFEVlL._AC_UL320_.jpg,Get,Only 1 left in stock.,"₹9,800"
Sparx mens Sd9039g Sneakers,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/51e48JV2GfL._AC_UL320_.jpg,4.0,"1,893",₹999
Sparx Mens Sm-439 Sneaker,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/71gVtJPjZZL._AC_UL320_.jpg,4.2,"10,388",₹699
crocs Unisex Adult Slate Grey/Lime Punch Bayaband Clog 205089-0GX M8W10,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/810I1APNbmL._AC_UL320_.jpg,,,"₹4,495"
crocs Unisex Adult Slate Grey/Lime Punch Bayaband Clog 205089-0GX M9W11,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/810I1APNbmL._AC_UL320_.jpg,3.0,2,"₹4,495"
crocs unisex-adult Bayaband Clog NAVY/PEPPER Clog - 9 UK Men/ 10 UK Women (M10W12) (205089-4CC),men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/712Brp0hwfL._AC_UL320_.jpg,4.3,"3,415","₹3,495"
crocs Bayaband Unisex-Adult SLATEGREY/LIMEPUNCH_N Clog - 9 UK Men/ 10 UK Women (M10W12) (205089-0GX),men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/71Va1SsE3rL._AC_UL320_.jpg,4.5,10,"₹4,495"
crocs unisex-adult Bayaband Clog SLATE GREY/LIME PUNCH Clog - 6 UK Men/ 7 UK Women (M7W9) (205089-0GX),men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/61LCRvTH7BL._AC_UL320_.jpg,4.1,531,"₹3,495"
crocs unisex-adult Bayaband Clog,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/61A0JAzTUOL._AC_UL320_.jpg,4.6,5,"₹4,495"
"BATA Mens Boss-Slick Formal Shoes, (8516051), Black",men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/71DN-vAkLoL._AC_UL320_.jpg,3.8,"1,721","₹1,099"
crocs unisex-adult Bayaband Clog Clog,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/712Brp0hwfL._AC_UL320_.jpg,4.3,"3,064","₹3,495"
Sparx Mens Sd0323g Sneakers,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/51g6S2XoAcL._AC_UL320_.jpg,4.1,"45,022",₹899
Sparx Mens Sd0734g Sneaker,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/61XKno+nU4L._AC_UL320_.jpg,4.1,"1,087",₹849
crocs unisex-adult Bayaband Clog LEMON/WHITE Clog - 8 UK Men/ 9 UK Women (M9W11) (205089-7B0),men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/61LCRvTH7BL._AC_UL320_.jpg,4.3,52,"₹4,495"
crocs Unisex-Adult Literide 360 Clog Tpk Clog,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/71SLXdbetVL._AC_UL320_.jpg,3.8,"5,201","₹5,995"
Hush Puppies Mens Aaron Slip on Sneaker,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/719nACln0RL._AC_UL320_.jpg,3.9,202,"₹3,299"
crocs unisex-adult Bayaband Clog LEMON/WHITE Clog - 8 UK Men/ 9 UK Women (M9W11) (205089-7B0),men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/71Y3xpl-GSL._AC_UL320_.jpg,4.3,852,"₹3,495"
